Org,URL,Description,Image,Summary
Delta Gamma,https://depauw.campuslabs.com/engage/organization/deltagamma,"Greek Student Group: 
 Delta Gamma was nationally founded in December of 1873 at Lewis School for Girls in Oxford, Mississippi and is one of the oldest and largest women's fraternities. Delta Gamma, commonly known asDG, is asororityin the United States and Canada with over 250,000 initiated members. In 1949, the Gamma Iota chapter of Delta Gamma was established at DePauw. 
 Delta Gamma's national philanthropy is Service For Sight, and the Gamma Iota Chapter at DePauw University supports this through their annual Anchor Splash and Splash Week events each semester. 
 Consistent with their Founders' thoughts over 135 years ago, their primary purpose is to create an environment for their members in which lasting friendships can be formed. They encourage an atmosphere among college women which fosters high ideals of friendship, promotes their educational and cultural interests, creates in them a true sense of social responsibility and develops in them the best qualities of character. 
 Delta Gamma Foundation supports their members' academic endeavors with undergraduate scholarships, graduate fellowships and interest-free loans. Every member is unique and yet they all share a single bond of friendship through Delta Gamma. 
 They chose the Greek letters Delta and Gamma because of their desire to ""Do Good."" It remains Delta Gamma's motto today and a driving force in all they do. 
 Delta Gamma's colors are Bronze, Pink and Blue; their flower is the Cream Rose and their symbol is the Anchor. ",https://se-images.campuslabs.com/clink/images/2036910e-58c6-412a-bc99-e4ca60464141366b9a0f-78f3-4043-a04f-bbeebfcbb3ce.png,Student Groups: Greek
Delta Tau Delta,https://depauw.campuslabs.com/engage/organization/deltataudelta,"Greek Student Group: 
 Delta Tau Delta was founded in 1858 at Bethany College, Bethany, Virginia (now West Virginia).Delta Tau Delta International Fraternity has spread to nearly 200 campuses, with more than 130 active chapters and colonies comprised of roughly 10,000 students. More than 170,000 men have joined the brotherhood of Delta Tau Delta since its founding.  
 In 1882, the Beta Beta chapter of Delta Tau Delta was established at DePauw University. 
 Delta Tau Delta is a values based social fraternity that exists to promote personal growth of its members through leadership development, service and a strong focus on academic achievement. 
 Our mission and values are offered to the public as a representation of the core values contained in our Ritual. All Delt men live by a common mission: ""Committed to Lives of Excellence."" All programs offered by the Fraternity reflect our values, and are designed to help the men of our Fraternity reach the level of excellence for which we all strive.<strong>  </strong> 
 Delta Tau Delta's national community service initiative is Adopt-a-School. Our colors are Purple and Gold and their flower is the Purple Iris. ",https://se-images.campuslabs.com/clink/images/f5c0f724-56ae-451c-b28e-a9faa4f412f99feb0a04-0fec-442f-9e69-55d2d8bf8e90.jpg,Student Groups: Greek
Delta Upsilon,https://depauw.campuslabs.com/engage/organization/deltaupsilon,"Greek Student Group: 
 Delta Upsilon, the sixth oldest international, all-male, college<span class=""x_x_mw-redirect"">Greek-letter</span>organization, is the oldest non-secret fraternity in North America. Delta Upsilon was founded on November 4, 1834, at Williams College in Williamstown, Massachusetts, andcurrently has over 76 chapters across the United States and Canada. 
 In 1887, Delta Upsilon chapter was established at DePauw University. 
 Our Visionis that Delta Upsilon is the premier men&rsquo;s fraternity committed to<em>Building Better Men</em>for a global society through service, leadership development and lifelong personal growth for our diverse membership. 
 There are no secrets with Delta Upsilon. No secret rituals. No secret oaths. No hazing. Delta Upsilon is proud to be the world's only international fraternity committed to sharing our ideals, symbols, and rituals openly. 
 Delta Upsilon's colors are Old Gold and Sapphire Blue. ",https://se-images.campuslabs.com/clink/images/4b702443-2318-4966-aeb8-fb2c16d6b6e47e3016ce-0858-4637-9fee-1475d7df06b9.png,Student Groups: Greek
Democratic Socialists Of DePauw,https://depauw.campuslabs.com/engage/organization/democraticsocialists,"<div class=""x_x_x_rwrl x_x_x_rwrl_sec x_x_x_rwrl_padref""><strong style=""font-weight: bold;"">Democratic</strong> <strong style=""font-weight: bold;"">socialism</strong> is a political ideology advocating a democratic political system alongside a <strong style=""font-weight: bold;"">socialist</strong> economic system, involving a combination of political democracy with social ownership of the means of production.</div>",,Student Groups: DSG-Recognized 
Department of Art and Art History,https://depauw.campuslabs.com/engage/organization/art,"Explore the arts as a member of our dynamic and inclusive community housed in the award-winning Peeler Art Center. Hone your technical and conceptual skills in studio art courses that empower you to effectively communicate your ideas. Combine your knowledge of art traditions with contemporary practices to understand the history and cultural impact of art and architecture. 
 Your work in the studios and classrooms is complemented by a rich offering of programs including traveling art exhibitions, lectures by notable art historians and curators, and individual studio critiques and workshops with visiting artists. Artistic exploration is enriched by field trips to museums, off campus study, and internships. As a member of our art community, you are at the center of these experiences, which connect you to the wide range of professional opportunities in creative fields. ",https://se-images.campuslabs.com/clink/images/9170093c-d9b2-45e6-97d9-174507936f86dc95ac62-246e-49e0-b07d-139f09291fec.jpg,Faculty and Staff Groups: Academic Departments
DePauw Actuarial Science Club,https://depauw.campuslabs.com/engage/organization/daso,promotes the study of actuarial science and the pursuit of actuarial careers ,https://se-images.campuslabs.com/clink/images/2fd14e92-c6db-40fc-ad10-3516d8df092a202e2d29-08dd-49dd-b79a-3806bb621132.png,Student Groups: DSG-Recognized 
DePauw Art Walk,https://depauw.campuslabs.com/engage/organization/dpuartwalk,"Art Walk is a weekend-long, interdisciplinary arts festival on DePauw University&rsquo;s campus. This<br />student-led event features exhibits by DePauw students and faculty members that showcase the<br />community&rsquo;s creative energy. Through live musical performances, art exhibitions, and<br />interdisciplinary collaborative projects, DePauw Art Walk provides a platform for educational<br />enrichment and creative innovation. 
 <br /><strong>VISION</strong><br />We believe that Art Walk expresses the values that a Liberal Arts education strives to achieve: an<br />education filled with creativity, interdisciplinary projects, and collaboration. Art Walk provides<br />DePauw Students with the opportunity to enhance their education with creative and intellectually<br />stimulating projects created for and by DePauw members. Through any medium, inspiration, or<br />collaborative process, participants in Art Walk will leave the event with a sense of ongoing<br />creative energy. ",https://se-images.campuslabs.com/clink/images/e75a1d16-4bc1-4df3-b3f4-d8e5369206c2c254ca0f-fc0b-4277-97f3-f0c158241345.png,Student Groups: DSG-Recognized 
DePauw Cheerleading,https://depauw.campuslabs.com/engage/organization/cheerleading,,https://se-images.campuslabs.com/clink/images/f5accebb-8826-4f52-b4c2-08cfc8c7166cba2870ce-84de-4250-8798-4e43ea56d84a.jpeg,Student Groups: DSG-Recognized 
DePauw China Connection,https://depauw.campuslabs.com/engage/organization/dcc,DePauw China Connection (DCC) ,https://se-images.campuslabs.com/clink/images/0b166247-b88f-4719-879b-88f753bce444d0adacaa-0117-431f-b197-66bcaae92be7.JPG,Student Groups: DSG-Recognized 
DePauw Dance Marathon,https://depauw.campuslabs.com/engage/organization/dpudance,"DPUDM's Tigerthon is a student-led philanthropic organization that advocates for the lives of local children. All money raised directly supports the Herman B Wells Center for Pediatric Research at Riley Hospital for Children located in Indianapolis, Indiana. ",https://se-images.campuslabs.com/clink/images/254d2c6b-e16d-43d6-b28c-467d5f04500ac3b09cc1-dc54-4faa-86a7-d62e4561e0d7.png,Student Groups: DSG-Recognized 
DePauw Data Science Club,https://depauw.campuslabs.com/engage/organization/ddsc,"The DePauw Data Science Club is dedicated to providing students with a passion for data science the opportunity to learn and apply software used within the industry. Our club serves as a platform for research, study, and hands-on experience in data science, introducing students to the basic concepts of programming and data analysis. We host workshops, guest speaker events, and networking opportunities to help our members gain valuable skills and connect with like-minded individuals in the field. Whether you're just getting started in data science or looking to expand your knowledge and skillset, we welcome all students to join our community and become a part of the exciting world of data science. ",https://se-images.campuslabs.com/clink/images/fb5cd7d5-008f-44de-9501-b420ab296defd488891e-75c4-4463-8abd-2d858e2cf03b.png,Student Groups: DSG-Recognized 
DePauw Esports,https://depauw.campuslabs.com/engage/organization/depauwesports,"DePauw Esports is DePauw's premier Esports organization that brings players from all different backgrounds together to compete under the banner of the DePauw Tigers. Esports is, in a word, competitive video gaming, where high skill players compete for prizes, honor, and glory. We offer something for everyone, from the newest of players to the most dedicated veterans. Currently, we are offering 14 different games for players to compete in, with our most popular games being League of Legends, Valorant, Overwatch, Rocket League, and Super Smash Bros Ultimate. We work on a seasonal basis, with the players competing in smaller online tournaments during the Fall and over the Winter, all culminating in a the big tournament in the Spring. Team Try-outs occur in the Fall, but players can always join in later on in the year. We are open to all backgrounds and interest, so come in and join DePauw Esports! If you would like more information or would like to join in on our community, email kaelvaldez_2023@depauw.edu for more! ",https://se-images.campuslabs.com/clink/images/654a4318-360e-44ac-be9b-66498f5d3e5e0d270693-e69f-484b-80fa-3dc898d65b0c.jpeg,Student Groups: DSG-Recognized 
DePauw Events Committee,https://depauw.campuslabs.com/engage/organization/depauweventscommittee,"The Events Committee is comprised of staff from all the divisions of the University with an emphasis on coordination of calendars for the purposes of event planning. 
  
 A current list of major campus events can be found on this <a title=""Major Campus Events"" href=""https://docs.google.com/document/d/1zP3Fje7dpy_c5kbvhDchFE9Ya0gvPUmtt91_-Y-btek/edit?usp=sharing"" target=""_blank"" rel=""noopener""> Google document</a>. Staff and faculty are encouraged to use this list when planning their own events, either to prevent overlapping similar events or to intentional co-program alongside other departments' events. 
  
 Co-conveners of the Events Committee: Steven Linville and Julia Sutherlin ",,Faculty and Staff Groups: University Offices & Programs
DePauw Film Club,https://depauw.campuslabs.com/engage/organization/wedonthaveawebsite,,,Student Groups: DSG-Recognized 
DePauw Gold Commitment,https://depauw.campuslabs.com/engage/organization/goldcommitmentprogram,,,Faculty and Staff Groups: University Offices & Programs
DePauw Hillel,https://depauw.campuslabs.com/engage/organization/depauwhillel,"DePauw Hillel functions as the local Jewish community, providing a religious center to staff and faculty families, as well as any others in the Greencastle area. ",https://se-images.campuslabs.com/clink/images/77731dbd-8b7a-46f4-b8dc-8cd0f6cc963ae0de7eb5-94ae-4dcb-81f5-91ca3aa926d3.jpg,Student Groups: DSG-Recognized 
Depauw Historical European Martial Arts Club,https://depauw.campuslabs.com/engage/organization/hema,A student lead club which learns Different martial systems from European History. Using equipment which is safe for training but still interacts realistcally for the purposes of practical application. ,https://se-images.campuslabs.com/clink/images/ce13b93c-76b8-46ae-aa2c-4724c3dea949c7788e44-2dfe-4d23-bf8e-0804f0c852c1.jpeg,Student Groups: DSG-Recognized 
DePauw International Student Association,https://depauw.campuslabs.com/engage/organization/isa,DISA brings different cultures of the world on campus and provides an atmosphere for learning and interaction among international and American students. DISA also seeks to help international students acclimate to the DePauw culture and American life in general. ,https://se-images.campuslabs.com/clink/images/d5b27472-5fd8-43f9-bf80-a3cf8cd8789287e90b60-fbe5-45e8-9615-38361ffd8299.jpg,Student Groups: DSG-Recognized 
DePauw Libraries,https://depauw.campuslabs.com/engage/organization/libraries,,,Faculty and Staff Groups: University Offices & Programs
DePauw MAPS,https://depauw.campuslabs.com/engage/organization/maps,"Minority Association for Pre-Med/ Health Students (MAPS) was founded in 1989 and has been nationally recognized by the Student National Medical Association (SNMA) in 1991. The mission for MAPS is to provide underrepresented pre-med and pre-health students&mdash; including students of color, first-generation, women, LGBTQIA+ status, etc.&mdash; resources, guidance, and a supportive space. SNMA&rsquo;s mission is to help MAPS members gain acceptance into graduate school, diversifying the healthcare workforce with culturally competent professionals. ",https://se-images.campuslabs.com/clink/images/a05b14dd-6f6b-47e0-b022-2c61cc77a6077dd1295d-eb8d-466c-8494-b2a90d8cb554.png,Student Groups: DSG-Recognized 
DePauw Mathematics Club,https://depauw.campuslabs.com/engage/organization/mathclub,"Everyone interested in mathematics is invited to join Math Club&mdash;a forum for experiencing the beauty of mathematical ideas, in whatever form they arise, as well as for enjoying occasional free food. 
 Math Club meets every Sunday from 2pm to 4pm in the Math Lounge, Julian 322. Each meeting focuses on an undergraduate-level topic that is often seen in competitions.The selected topic is something not usually seen in the standard curriculum. This could take form of professor-led short class or group discussion of solutions to interesting problems. However, some exposure to methods of proof is recommended, and a moderate capacity for abstract thought is required. 
 When opportunities arise, Math Club will coordinate students' participation in Math competitions and conferences. ",https://se-images.campuslabs.com/clink/images/0dcc5d24-d77f-4bd1-929c-13f33b6d0b97bd815378-21ac-44a4-ad2a-3521f7eda660.jpg,Student Groups: DSG-Recognized 
DePauw Neurodivergence Inclusion Association,https://depauw.campuslabs.com/engage/organization/dpnia,"<span style=""font-weight: 400;"">The DePauw Neurodivergence Inclusion Association is an organization established for the purpose of providing a safe space for neurodivergent students to unite and work to expand their accommodation and inclusion on campus. We aim to educate our peers to be more socially aware of those around them in order to encourage them to turn to tolerance rather than exclusion when faced with neurodiverse individuals. DPNIA is meant for all to join, even those who identify as neurotypical, in order to show their support for those in their life that process differently.</span> 
 <span style=""font-weight: 400;"">DPNIA is an organization created by current students and faculty to promote the inclusion of neurodiverse students both socially and academically. While we are created to provide a space for neurodivergent students to feel safe, we also welcome neurotypical allies to join in order to support their peers and make DePauw an accepting place for all.</span> 
 <span style=""font-weight: 400;"">Prior to current efforts of DPNIA students and faculty affiliates, neurodivergent students have been underrepresented and underappreciated in the DePauw community. Individuals in this demographic are often alienated from peers partially due to lack of understanding and lack of tolerance, so an organization like that of DPNIA can help decrease alienation and increase acceptance and representation. A strong community is a loved, understood community.</span> 
 <span style=""font-weight: 400;"">Current goals include establishing sensory friendly study spaces, hosting educational panels, hosting events to raise awareness and build community, and forming an online server for members to comfortably interact at their own pace and style.</span> ",https://se-images.campuslabs.com/clink/images/f9cbebbc-3f69-42ee-adf6-ee70f11a781e82df50eb-885b-4338-95e4-78c2d401cd0f.png,Student Groups: DSG-Recognized 
DePauw Pool Club,https://depauw.campuslabs.com/engage/organization/depauwpool,"DePauw Pool Club is an organization where people gather to play pool. As a high demand of students playing game of pool the pool around campus, DePauw Pool Club is willing to provide a professional place for students who have a high interest in playing pool or learning how to play pool. The club will host tournaments for whom need to compete in a high-level pool. Also, DePauw Pool Club will provide several pool workshops for students who want to improve their game and become a better players. Lastly, providing a healthy, competitive platform for students to have fun playing pool and protects equipment from being destroyed. ",,Student Groups: DSG-Recognized 
DePauw Pre-Surgery Club,https://depauw.campuslabs.com/engage/organization/psc,,,Student Groups: DSG-Recognized 
DePauw Programming Council,https://depauw.campuslabs.com/engage/organization/dpupc,,https://se-images.campuslabs.com/clink/images/7bc8d421-6e65-428c-8c8d-44c0d3de9a3b0d48d879-b1e0-4d12-b991-b1249c74dc64.png,Student Groups: DSG-Recognized 
DePauw Robotics Club,https://depauw.campuslabs.com/engage/organization/depauw_robotics,"<span style=""font-weight: 400;"">Having a long-standing presence in the technological field in DePauw, DePauw Robotics </span> <span style=""font-weight: 400;"">Club stands tall with a long history of inspiring young people with excessive interest in building and inventing to spread their passion to the community. DePauw Robotics Club has and will always be the playground for all people from Robotics enthusiasts to the fully interested. Not only that, we are hoping to build an inclusive community and create a meaningful and extensive environment through STEM.</span> ",https://se-images.campuslabs.com/clink/images/db677c6d-3c49-480c-8104-30835d67d77f805002bd-227d-4704-a966-fd43b77b807c.jpg,Student Groups: DSG-Recognized 
DePauw Rock Climbing Club,https://depauw.campuslabs.com/engage/organization/rockclimbingclub,,,Student Groups: DSG-Recognized 
Depauw Rugby Club,https://depauw.campuslabs.com/engage/organization/rugbyclub,,,Student Groups: DSG-Recognized 
DePauw Service,https://depauw.campuslabs.com/engage/organization/dpuservice,,,Faculty and Staff Groups: University Offices & Programs
DePauw Student Government,https://depauw.campuslabs.com/engage/organization/dsg,"<p style=""text-align: center;"">The mission of DePauw Student Government is to act as the chief advocate for the students of DePauw University, to implement any and all things possible to improve the quality of the DePauw University experience, and to affect positive change through encouraged involvement and communication with the student body, administration, and the faculty. 
<p style=""text-align: center;"">We the students of DePauw University, in order to provide a more united student voice, advocate for student concerns, ensure student safety and improve the academic, as well as the social atmosphere on campus, do hereby endorse this page. ",https://se-images.campuslabs.com/clink/images/6dafe810-71e3-4cf2-bdd8-3ce74fc871a73641eea3-d552-4898-8a35-c7ba8aebce26.png,Student Groups: DSG-Recognized 
DePauw Theatre,https://depauw.campuslabs.com/engage/organization/theatre,,,Faculty and Staff Groups: University Offices & Programs
DePauw Ultimate Frisbee,https://depauw.campuslabs.com/engage/organization/dpufrisbee,"<ul class=""MuiList-root MuiList-padding css-1ontqvh"">
<li class=""MuiListItem-root MuiListItem-gutters MuiListItem-padding css-1yo8bqd"">
<div class=""MuiListItemText-root MuiListItemText-multiline css-1xar93x"">
<div class=""MuiTypography-root MuiTypography-body2 MuiListItemText-secondary css-1g1yogv"">
<div>
 The DePauw Ultimate Frisbee Club seeks to provide a space where people who are interested in disc sports can come together and play in both a competitive and friendly environment. The club will host weekly practices/scrimmages where players will have the opportunity to learn the basics of throwing and catching as well as how to play in an actual game. All are welcome! 
</div>
</div>
</div>
</li>
</ul>",https://se-images.campuslabs.com/clink/images/38094e0f-d0bf-4535-a3d2-5aac465b50f8b35ae9c5-f1f4-47f7-a6e1-188be33b6dc4.jpeg,Student Groups: DSG-Recognized 
DePauw University Frisbee Golf Club,https://depauw.campuslabs.com/engage/organization/depauwfrolf,"The main goals of the club are: to bring people who play frolf together, to teach people who want to learn how to play frolf, and to have tournaments on and off-campus so frolf players can compete. All participants of the Frolf Club will be considered members but team leaders will be considered officers and will have different responsibilities. There will also be a captain who oversees the workings of the club as a whole. Meetings will be held to go over the creation of tournaments and logistics in general. ",https://se-images.campuslabs.com/clink/images/6d36774a-7af6-4df6-8437-e6cef2072dc9040c4438-108a-4fed-a4d1-f18aa7ab305e.jpg,Student Groups: DSG-Recognized 
DePauw Water Polo Club,https://depauw.campuslabs.com/engage/organization/depauwwaterpolo,"<span style=""font-weight: 400;"">DePauw Water Polo, or DPU Polo, is to be a co-ed, student founded, and student run athletic organization hosting small-scale practices and scrimmages for all athletes who care to partake. With 14 members already declaring interest, facilities usage having been organized with administrators, and gear being partially sponsored by athletic offices, our organization is ready to expand our presence across campus and become established and granted the recognition and publicity that other student organizations have. With water polo being a rapidly popularizing sport all across the world and especially at the college level, it is no doubt that our organization will grow to be a fun and healthy outlet for the talented athletes already residing on campus, as well as </span><span style=""font-weight: 400;"">prospective DePauw students who would like to play water polo in college.</span> ",https://se-images.campuslabs.com/clink/images/7b256625-00d0-477d-a9f2-a5c0752e9244d1a4dce0-3041-4ea6-bb10-b2d350f02aed.png,Student Groups: DSG-Recognized 
DePauwCappella,https://depauw.campuslabs.com/engage/organization/depauwcappella,,,Student Groups: DSG-Recognized 
Dharma,https://depauw.campuslabs.com/engage/organization/dharma,"Dharma is a Hindu religious and South Asian cultural association on campus, but it is open to people from all backgrounds and ethnic groups. We as an organization aspire to celebrate our culture and festivities with the DePauw community through events, trips, and exchange of dialogue. We welcome everyone at the DePauw family to our events. ",https://se-images.campuslabs.com/clink/images/6883c6d7-b489-49bb-babb-6ffa3950d341c8e9ec54-d548-4b2c-af40-d5cb23cb8ef7.png,Student Groups: DSG-Recognized 
Diverse Athletes Association,https://depauw.campuslabs.com/engage/organization/studentathletesofcolor,"Welcome to the Diverse Athletes Association (DAA) formally known as SAC (Student-Athletes of Color) 
 The mission of the DAA is to provide a space where student-athletes and athletics staff of color can discuss success and challenges experienced transitioning to campus and new athletics teams. We aim to build community, provide education and celebrate accomplishments both in and out of sport. Membership in DAA is open to allies but it is primarily a community for student-athletes and athletics staff of color. In partnership, we ask that you introduce the DAA to your teams and encourage student-athletes of color and their allies to consider membership in the group. ",https://se-images.campuslabs.com/clink/images/5c625409-910e-40dc-b9e8-9bfc8c2843c238f22f4a-eed3-4c7f-9f27-11f1ea996d19.png,Student Groups: DSG-Recognized 
Economic Department,https://depauw.campuslabs.com/engage/organization/economic,,,Faculty and Staff Groups: Academic Departments
Ed Studies Field Experience,https://depauw.campuslabs.com/engage/organization/edstudiesfieldexperience,,,Faculty and Staff Groups: University Offices & Programs
Education Studies,https://depauw.campuslabs.com/engage/organization/edstudies,"With a focus on research, practice, theory, and experiential learning, the Education Studies department enables students to understand and re-imagine education as a vital social process that extends far beyond schools. With a commitment to justice and liberation, we investigate the sociology, political economy, cultural foundations, philosophy, and history of education. We mentor students as critical educators, transformative intellectuals, and public pedagogues. Students gain practical and research experience in educational settings, often studying abroad, and during their senior year conduct original research over our two-semester capstone course. 
  
 <span style=""text-decoration: underline;""><strong>INFORMATION AND RESOURCES FOR EDUCATION STUDIES</strong></span><strong><u>STUDENTS</u></strong> 
 The <a href=""https://www.depauw.edu/academics/centers/hubbard/"">Hubbard Center for Student Engagement</a>, located in the Union Building, is the primary resource for DePauw students for anything related to off-campus study, internships, career development, and more. The resources listed below are intended to highlight opportunities which may be of interest to students majoring in Education Studies. These lists of resources are updated regularly, but they are not intended to be all-inclusive. Students are encouraged to meet with their advisors as well as the Hubbard Center staff to explore possibilities. 
  
 <a href=""https://docs.google.com/document/d/1qVR5bQKysmjiLHbkhZDokh1U3uCYARM6YjQh7TD7KEg/edit?usp=sharing"">Opportunities During the School Year</a> 
  
 <a href=""https://docs.google.com/document/d/185sHJcJbAcpKClQ95-KU3dsGLoNxovq_UIYSHZm6uEE/edit?usp=sharing"">Opportunities: Summer Camps</a> 
  
 <a href=""https://docs.google.com/document/d/1jDdTt6PUnXDCzCi2JAMg0tHGqsZCRPKLRHRwpDWixNA/edit?usp=sharing"">Opportunities: Internships and Fellowships</a> 
  
 <a href=""https://docs.google.com/document/d/1UKLcCcdqnC_h4IRCRMf8O-jSfyC3DtZlAx71Kk87Llw/edit?usp=sharing"">Opportunities After Graduation</a> 
  
 <a href=""https://www.depauw.edu/academics/departments-programs/education-studies/info-for-current-students/paths-to-teaching/"">Information about Paths to Teaching After Graduation (both with and without a license)</a> 
  ",https://se-images.campuslabs.com/clink/images/99e2259f-31d8-4270-ae56-b7ee3d874082943d5e7d-db08-4ebb-93b4-36f1c3a035e4.jpg,Faculty and Staff Groups: Academic Departments
Elite Precizion,https://depauw.campuslabs.com/engage/organization/eliteprecision,"There are many talented steppers lingering DePauw&rsquo;s campus. When thinking about performing incompetitions and showcases, one may imagine easily distinguishable forms of dance like hip-hop orclassical ballet. Elite Precizion provides a different form of dance that is solely step. With an activeinterest in the historical African art of stepping, Elite Precizion encourages individual creativity anduniqueness and gives students of color the ability to speak through expression. Through team building,encouragement, positive sportsmanship, and respect we do not only seek to entertain but also to provide aspace for developing and molding future leaders. 
 If you would like to join, come to our auditions every<em>Fall Semester</em><em>.</em> 
 See us perform at our annual showcase every<em>Spring Semester</em>and at other campus-wide events year-round! ",https://se-images.campuslabs.com/clink/images/f494afca-5f6d-4780-8956-2f450dc91c8ac0dfb120-47d3-4f86-8d97-1b3740e8e7c1.png,Student Groups: DSG-Recognized 
English Department,https://depauw.campuslabs.com/engage/organization/englishdepartment,,,Faculty and Staff Groups: Academic Departments
English for Academic Purposes,https://depauw.campuslabs.com/engage/organization/englishforacademicpurposes,"The English for Academic Purposes program provides support for international and multilingual students. EAP faculty also consult with campus constituents on best practices for working with students from different language and cultural backgrounds. 
 <strong>For Online Office Hours please schedule yourself by clicking on the link:</strong> 
 Tamara Stasik:<a href=""https://depauw-edu.zoom.us/j/96584659450"">Thursday 9:00-11:00 am EDT </a>and by appointment (email tamarastasik@depauw.edu) 
 Lynn Ishikawa: <a href=""https://calendar.google.com/calendar/u/0/selfsched?sstoken=UU8wd0pFckdMVF9lfGRlZmF1bHR8NTJkMTFmYzZiMDcyODRiYjU4MmE2MTJhNmFiYzY0NTI"">Wednesdays and Thursdays 2:00-3:30pm</a> ",,Faculty and Staff Groups: University Offices & Programs
Environmental Fellows Program,https://depauw.campuslabs.com/engage/organization/environmentalfellowsprorgam,"Approach the environment from a multidisciplinary perspective through a variety of keystone classes, co-curricular activities and hands-on practicum. Open to all majors, Environmental Fellows are problem solvers, addressing urgent matters facing this generation such as diminishing biodiversity, pollution, climate change and social justice issues. ",https://se-images.campuslabs.com/clink/images/16915c95-a19f-44be-ac04-7ba3a81bf26c8563c2b2-3694-4609-b429-2076685567f5.jpg,Faculty and Staff Groups: University Offices & Programs
Exalt! Gospel Choir,https://depauw.campuslabs.com/engage/organization/exalt,Performs music from the African-American Christian traditions and creates fellowship. ,,Student Groups: DSG-Recognized 
Facilities Management,https://depauw.campuslabs.com/engage/organization/facilities,,,Faculty and Staff Groups: University Offices & Programs
Faculty Development,https://depauw.campuslabs.com/engage/organization/facultydevelopment,"<strong><em>Faculty Development at DePauw University is a systematic, comprehensive, well-resourced effort to help us all do our best work, to learn and grow as individuals and as an intellectual and teaching community.</em></strong> 
  ",https://se-images.campuslabs.com/clink/images/19b3f076-d741-4583-9214-792c0ae5303c97e348d4-de09-47d9-a57d-6b9c7bc0f1d2.jpeg,Faculty and Staff Groups: University Offices & Programs
Faculty Instructional Technology Support,https://depauw.campuslabs.com/engage/organization/fits,"Faculty Instructional Technology Support collaborates with faculty, students, and staff exploring ways that instructional and information technology can encourage and sustain learner-centered pedagogies that support the University's mission. We recognize the importance of dialogue and partnership in technology's integration in teaching and learning. We support this philosophy through consulting and informing; facilitating and leading workshops and training; supporting and managing projects; researching and evaluating new technologies, their efficacy, and creative use; participating in the intellectual community; and cultivating professional development. ",https://se-images.campuslabs.com/clink/images/214bcab3-3bf5-48c4-8ac9-82da37477e717e040d3b-b6f5-4d5e-bf1a-4b329ec613ef.jpeg,Faculty and Staff Groups: University Offices & Programs
Fellowship of Christian Athletes,https://depauw.campuslabs.com/engage/organization/depauwfca,"FCA is an international, non-profit Christian sports ministry established at most colleges and universities in the United States. Founded on the values of <strong>Integrity</strong>, <strong>Serving</strong>, <strong>Teamwork</strong>, and <strong>Excellence</strong>, FCA's <span style=""text-decoration: underline;"">vision</span> is to see the world transformed by Jesus Christ through the influence of coaches and athletes to ultimately achieve the <span style=""text-decoration: underline;"">mission</span> of leading every coach and athlete into a growing relationship with Jesus Christ and His church. 
  
 FCA is open to anyone who enjoys sports (playing, coaching, watching, etc.) There are no requirements or criteria needed to join.We seek to make disciples through ourstrategy of <strong>engaging</strong>, <strong>equipping</strong>, and <strong>empowering</strong>coaches and athletes to know and grow in Christand lead others to do the same. ",https://se-images.campuslabs.com/clink/images/a0a4fdbe-c8fe-45de-a29b-1a935d5df37eee670771-c39e-44b6-9f2f-b4807b21de04.jpg,Student Groups: DSG-Recognized 
Feminista!,https://depauw.campuslabs.com/engage/organization/feminista,We the womyn of Feminista! aim to bring about positive reform to the world starting at DePauw University. We are usually busy trying to stomp down intersecting oppression of all kinds and empowHER other womyn to do the same. ,https://se-images.campuslabs.com/clink/images/1f3e6261-b927-4d5a-9ef7-4c09b72712a85c1740d1-e9c8-458b-9198-34ebec55a1b0.png,Student Groups: DSG-Recognized 
Filipino Students Association,https://depauw.campuslabs.com/engage/organization/fsa,"<div class=""x_page"" title=""Page 1"">
<div class=""x_section"">
<div class=""x_layoutArea"">
<div class=""x_column"">
 With the growing population of Filipino students at DePauw University, it is important to recognize and celebrate their unique Philippine heritage. With so many culturally-established clubs, there is no student organization that acknowledges the presence of Filipino students at DePauw University. It is very hard for the specified students to express and share their culture to other communities as well as to internalize the essence of being an international student at DePauw University. FSA, therefore, aims to celebrate Filipino traditions and customs at DePauw University and help Filipino students succeed in their university-level learning without losing their cultural identity. 
</div>
</div>
</div>
</div>",https://se-images.campuslabs.com/clink/images/8298e0a5-c418-4e92-81d7-81b3ec44e197670863e8-ac47-4da0-b144-20f597e0b82b.png,Student Groups: DSG-Recognized 
Film Studies,https://depauw.campuslabs.com/engage/organization/filmstudies,"Film Studies at DePauw cultivates a range of intersecting skills, teaching students to think, write, create, and speak critically about film, which increasingly reflects us, defines us, persuades us, markets us, and tells our stories. Students spend time closely reading and analyzing film texts for aesthetics, meaning and methodology; become versed in film and media theory and critical-analytical models; investigate the cultural, political and economic contexts in which film production takes place; explore various national cinemas, film genres and/or film auteurs; engage with the historical dimensions of film; and create their own work--through courses in digital film production, screenwriting, digital and video art, television production, and photography, as well as co-curricular winter term courses, study abroad opportunities, and independent study projects. ",https://se-images.campuslabs.com/clink/images/6a228b4a-7337-49e1-9506-47440523516abe2c20ac-b34a-4ac2-8547-3b73cb47a4ee.jpg,Faculty and Staff Groups: University Offices & Programs
